tokens,rewards
"3,8,3,1,0,0,0,9",0.4556726348564731
"3,9,6,1,9,7,6,2,5,5,0,6,0",0.0
"7,4,1,0,9,3,4,5,2,3,3,9,0,0,6,0,0,0",0.0
"6,7,3,9,2,5,2,0,1,6,4,0,9,1,0,0,0",0.0
"2,6,0,4,8,0,6,0",0.0
"6,6,4,5,5,8,3,0,3,3,0,9,9,0",0.0
"2,4,0,3,6,0,9,5,3,9,5,8,2,0,6,0",0.0
"1,4,0,7,6,0,7,3,1,5,2,9,0,3,5,0,9,0",0.0
"2,5,1,9,1,3,5,2,2,9,8,0,0,7,3,0,0,0,0",0.0
"7,2,9,6,4,9,0",0.0
"4,9,6,2,8,0,8,3,2,9,0,0",0.6368291191843076
"4,7,6,2,1,2,0,5,4,9,4,0,3,0,0,9,0,0",0.0
"5,8,4,3,0,2,5,4,9,3,0,2,6,4,3,0,9,0,0,0,0",0.0
"1,0,7,3,0,3,5,3,3,6,0,4,2,0,2,0,9,9,0,0",0.0
"2,1,0,3,1,8,1,9,0,2,7,1,9,4,0,0,0,0,0",0.0
"7,6,1,2,3,9,2,5,0,2,5,3,4,5,0,0,0,9,0,0",0.0
"5,8,3,0,5,3,0,2,9,4,6,3,2,0,0,0,9",0.0
"3,7,2,5,1,6,1,3,0,9,9,0,1,0,5,0,0",0.0
"1,4,9,6,1,6,0,0,0",0.7738645350297826
"8,5,3,3,9,2,0,9,0",0.0
"5,7,3,9,2,1,0,0,0",0.0
"5,8,3,1,3,1,9,0,0,6,1,5,2,0,9,0,0",0.0
"1,9,3,4,6,7,2,2,0,9,6,4,0,6,0,2,0,0,0",0.0
"2,8,0,1,6,4,9,7,6,2,0,9,6,0",0.25129404247303194
"6,3,6,7,4,2,5,0,4,0,9,6,6,1,0,9,6,0",0.0
"5,4,0,2,9,2,6,6,0,6,1,8,5,0,0",0.0
"3,3,1,7,3,0,0,5,8,1,5,3,0,9,9,0,0",0.0
"5,1,4,0,9,3,4,6,1,0,9,7,2,3,4,0,0,0,0,0",0.0
"6,3,0,7,3,0,5,1,9,1,1,0,0,9",0.0
"5,7,4,5,0,5,1,9,0",0.0
"5,5,4,4,0,5,0,8,4,9,4,0,3,9,0",0.0
"2,0,4,7,0,4,7,0,4,7,5,3,3,0,1,0,9,0,9",0.0
"4,6,0,7,4,2,9,1,6,0,0,5,0",0.0
"1,0,4,8,1,0,0,7,4,0,9",0.0
"6,4,3,6,0,9,1,0,9",0.0
"4,1,7,4,2,4,9,2,0,1,5,0,0,9,3,6,0,0,0,0",0.0
"2,0,1,9,6,3,5,2,7,6,6,6,1,9,0,0,0",0.0
"4,6,8,0,7,2,4,6,3,9,1,4,9,0,0,0,0",0.0
"7,4,0,3,0,2,0,5,4,0,2,6,2,0,0,9",0.0
"6,7,2,0,3,9,5,3,9,1,0,0",0.0
"8,1,9,3,5,5,0,2,6,3,1,0,0,0,6,0",0.0
"1,0,4,0,3,2,9,2,3,0,7,0,8,1,0,0,0",0.0
"3,7,4,2,2,0,4,9,0,0,9,7,1,1,0,0,0",0.0
"4,7,1,6,0,5,4,3,0,3,2,2,9,0,9,0,0,0",0.0
"4,1,8,1,1,1,2,9,1,0,9,6,4,0,0,0,0,0,0",0.0
"4,7,2,9,0,6,0",0.5344582133272696
"8,2,9,2,9,3,2,0,0,3,0,5,5,4,0,0",0.0
"3,9,2,6,7,2,2,0,0,6,3,3,1,4,9,0,0,4,0,0,0,0",0.0
"4,5,4,4,8,5,4,3,9,0,1,4,4,3,0,9,0,0,0,0,0,0",0.0
"8,4,1,1,5,3,9,5,0,0,6,2,4,4,9,0,0,0,0",0.0
"2,9,8,3,0,1,6,4,0,2,9,4,0,0,0",0.0
"3,8,1,0,5,3,5,5,2,5,1,3,0,9,0,0,9,0",0.0
"3,7,1,0,0,3,3,6,0,5,4,1,0,2,0,0,0,0",0.0
"6,1,3,0,8,2,9,0,3,2,9,7,3,0,0,0",0.6541648775656332
"3,7,5,0,8,4,5,0,4,1,9,6,0,9",0.0
"3,7,5,4,0,5,4,1,2,3,2,0,9,0,9,0,0,0",0.0
"3,9,8,5,5,3,0,9",0.0
"8,4,9,1,0,3,1,0,5,3,4,1,6,0,5,0,9,0,0",0.0
"2,5,1,5,8,6,1,6,2,9,3,5,1,6,2,9,0,0,0,0,0,0",0.0
"8,1,9,3,0,5,0",0.0
"4,4,3,9,2,3,3,0,3,0,9,0,0,0,0",0.0
"7,5,4,9,1,0,9",0.0
"1,9,2,6,6,2,2,1,6,8,1,0,6,0,7,0,0,0,0",8.918073894418013e-27
"6,2,0,1,5,5,5,5,0,4,9,8,1,6,0,9",0.0
"3,1,1,0,6,7,0,5,4,9,1,9,1,5,0,0,0",0.0
"6,8,2,0,4,6,6,0,2,5,4,2,0,9,0,4,0,0",0.0
"1,6,1,6,0,0,3,0,9",0.013882627947595132
"7,1,9,3,0,6,1,9,3,0,0",0.4000550384279463
"8,5,4,4,6,0,1,9,1,9,2,5,4,6,0,6,0,0,0",0.0
"4,6,0,6,1,3,5,8,3,3,5,0,2,0,0,9,0,9",0.0
"4,5,8,0,0",0.0
"5,7,5,3,4,9,2,9,1,6,0,1,0,1,0,0,0",0.0
"5,8,5,2,6,6,1,9,6,0,3,4,1,9,0,5,0,0",0.0
"6,8,2,0,6,6,4,0,4,1,5,1,5,2,0,9,0,9,0",0.0
"4,1,4,6,2,2,9,5,7,1,0,1,5,4,0,0,9,0,0,0,0",0.0
"2,4,3,0,2,2,5,2,7,4,0,0,3,6,0,0,9,0,9,0",0.0
"6,2,6,1,8,0,3,1,6,6,7,0,4,6,0,9,9,0",0.0
"1,9,1,3,7,4,0,2,2,9,1,0,0,4,2,0,0,0,0,0",0.0
"6,6,6,3,3,1,0,0,8,2,0,4,1,2,0,9,9,0,0",0.0
"7,5,3,3,4,0,9,3,5,2,9,5,2,0,1,0,0,0,0",0.0
"1,8,6,4,5,0,0,6,1,3,0,0,3,9,8,0",0.0
"7,6,3,9,2,0,9",0.6369952701462861
"7,3,6,4,3,4,4,1,4,9,0,0,6,1,0,9,0,0,0,0",0.0
"6,8,6,1,3,5,4,3,2,3,3,6,0,0,0,9,0,9,0,0",0.0
"2,8,0,6,2,0,8,5,4,9,0",0.0
"5,5,5,8,6,4,0,2,0,0",0.0
"2,1,0,9,7,5,4,5,0,6,0",0.0
"8,2,2,9,6,0,6,2,1,6,6,2,9,3,0,0,0,0",0.3464474110510661
"4,5,1,7,6,0,0,8,5,4,5,1,1,0,3,0,0,0,9",0.0
"7,4,4,6,1,6,4,0,5,0,5,5,4,9,0,9,0",0.0
"3,9,7,4,4,1,5,0,0,9,1,4,6,0,0,0",0.0
"7,1,3,6,6,2,0,2,4,5,5,5,0,9,9,3,1,0,0,0,0",0.0
"6,6,3,0,3,2,7,6,0,8,0,9",0.24999171373955667
"8,4,1,3,0,9,3,6,4,4,6,4,0,9,0,6,0,0,0",0.0
"2,2,5,0,1,9,2,4,4,9,5,5,0,0,0,7,2,0,0",0.0
"2,1,0,4,7,4,0,0,7,4,6,3,3,5,1,0,9,0,9,0,0",0.0
"8,5,5,4,0,5,5,3,0,0",0.0
"6,7,2,4,2,1,0,9,9,4,4,3,3,2,0,0,0,0,0,0,0",0.0
"8,1,1,6,3,0,1,2,0,5,2,0,9,9,0,0",0.0
"4,0,2,9,1,2,9,6,1,2,6,8,4,0,0,0,0,0",0.0
"3,4,9,4,4,2,6,0,6,3,0,7,3,0,9,0,8,0,0",0.0
"5,2,9,1,7,0,5,1,3,9,5,4,5,0,0,0",0.0
"1,6,8,3,9,3,9,0,1,7,0,0",0.30961451786675415
"2,2,6,3,7,0,5,2,9,2,4,5,3,9,6,0,0,0,0,0",0.0
"5,2,3,2,2,6,0,8,3,0,4,5,0,9,3,0,0,9,0",0.0
"2,0,8,2,6,6,3,9,0,0",0.4657039430824509
"4,9,2,1,9,8,4,1,0,2,1,6,0,2,0,0,2,0,0,0,0",0.0
"3,7,6,3,9,1,9,0,1,8,0,0",0.5555010577332548
"5,2,7,0,1,0,7,3,2,9,0,3,0,9",0.0
"1,8,1,4,2,5,3,1,6,0,3,2,0,0,6,0,0,0,9,0,0",0.0
"8,6,3,0,4,3,2,5,4,2,5,0,0,4,9,0,0,9,0",0.0
"3,0,4,3,2,6,1,2,4,3,1,4,9,0,0,0,0,0,0,0,0,9",0.0
"4,4,7,4,2,3,5,1,3,0,4,9,0,2,0,0,0,0,0,9,0",0.0
"7,4,4,0,9,1,0,1,1,6,6,1,0,0,9,0",0.4989942183711304
"8,6,2,9,2,6,3,6,3,5,2,9,1,0,0,6,0,0,0",0.0
"5,3,9,3,8,4,9,4,2,0,0,5,1,1,0,0,0,0",0.0
"4,0,8,1,1,6,0,9,1,6,4,9,2,0,3,2,0,0,0,0",0.0
"6,2,7,2,3,2,2,1,2,0,1,4,9,2,9,0,0,0,0,0,0,0,0",0.0
"4,3,2,5,0,7,4,0,5,5,0,0,0",0.0
"3,0,3,3,0,5,1,6,3,8,3,0,9,8,0,0,0",0.6584590491781834
"4,7,0,1,1,2,5,0,7,6,6,0,4,0,2,0,9,9",0.0
"3,2,3,3,1,8,0,2,9,5,3,1,8,0,2,9,0,0,0,0,0,0",0.0
"5,1,0,6,7,1,9,2,9,3,2,4,0,0,1,4,0,0,0,0",0.0
"4,5,3,1,8,5,3,2,5,0,6,6,0,9,0,9,0",0.0
"3,5,7,4,0,6,4,0,4,2,0,6,3,6,0,9,9,4,0,0",0.0
"1,4,0,8,1,0,6,1,3,2,4,0,3,9,6,3,9,0,0,0,0,0",0.16189811411318167
"1,4,9,2,6,2,9,7,4,5,3,2,6,0,0,0,0,0,0",0.0
"1,5,2,2,3,9,5,4,9,4,1,6,0,0,0,1,0,0,0,0",0.0
"6,6,2,7,4,1,5,2,0,9,1,1,4,0,0,1,9,0,0,0,0",0.0
"5,7,5,4,1,1,6,0,3,3,4,6,6,3,9,0,9,0,0,0,0",0.0
"5,3,0,7,4,9,2,0,6,0",0.0
"5,5,3,2,6,7,4,0,0,6,2,4,0,0,1,0,9,0",0.0
"5,3,7,0,8,3,0,1,9,0",0.0
"4,4,3,0,0,0,6,7,4,2,4,0,9,0,9",0.0
"7,6,2,9,1,1,1,5,3,3,5,0,6,0,0,0,0,9",0.0
"6,3,6,2,7,2,9,3,3,2,4,3,4,9,0,0,0,0,0,0,0,0",0.0
"1,8,1,2,0,1,9,1,4,1,0,9,2,0,0,0,0,0",0.0
"1,2,1,0,4,4,0,9,9,6,6,8,1,0,0,5,0",0.0
"8,2,1,6,6,0,6,0,2,6,2,0,5,0,0",0.0
"1,7,2,0,6,2,6,1,0,2,9,1,9,6,0,0,0",0.470293955392008
"6,7,1,0,6,4,2,9,0,3,5,0,9",0.0
"3,9,2,4,4,9,4,8,0,3,1,0,0,0,0,7,0",0.0
"1,5,0,8,3,0,5,1,1,6,4,1,9,5,4,9,0,0,0,0",0.0
"5,3,9,6,2,5,7,0,4,3,7,3,6,0,0,0,9",0.0
"3,5,1,9,8,3,2,2,2,1,2,6,0,0,4,0,0,0,9,0,0,0",0.0
"4,0,5,2,1,9,2,3,3,4,1,7,3,0,9,0,0,0,0,0,0",0.0
"4,0,4,8,5,0,6,6,3,4,0,0,6,0",0.0
"5,7,6,3,0,2,1,0,0,0",0.0
"8,1,5,3,0,9,4,1,6,1,5,1,9,3,0,0,0,0,0",0.0
"3,9,5,2,2,6,0,5,4,1,8,1,9,2,0,0,0,0,0",0.0
"1,9,6,1,7,4,0,0,9",0.0
"6,8,2,6,6,4,0,5,2,0,0,9",0.0
"7,1,4,4,2,6,2,0,9,2,4,9,3,0,0,5,0,0,0,0",0.0
"7,6,4,1,5,4,4,1,0,6,6,0,0,0,9,0",0.0
"7,3,9,3,6,0,9",0.592979282659416
"7,6,6,3,0,2,1,9,2,9,6,2,1,4,4,0,0,0,0,0,0",0.0
"8,4,3,5,1,9,1,9,0,5,3,0,6,1,0,0,0",0.0
"3,7,1,5,2,9,6,4,9,4,3,3,2,6,0,0,0,0,0,0,0",0.0
"2,6,7,2,0,6,3,9,0,0",0.740785064799702
"7,3,9,1,3,1,0,9,0,2,6,0,0",0.7093108640162802
"6,7,2,3,3,4,9,2,5,3,1,9,5,0,0,4,2,0,0,0,0,0,0",0.0
"8,6,1,0,6,6,0",0.0
"8,4,2,5,5,5,1,4,6,4,9,3,1,1,6,0,0,0,9,0,0,0,0",0.0
"4,9,8,5,2,0,4,0,0",0.0
"5,1,0,3,3,5,8,0,9,8,0",0.0
"4,4,1,8,0,4,5,3,3,5,5,0,5,7,0,9,9,6,0,0",0.0
"5,1,1,3,0,7,2,3,4,9,0,5,0,5,0,9,0",0.0
"7,2,4,3,1,6,3,3,0,1,4,0,2,5,0,9,9,0,0,0,0,0",0.0
"8,3,9,2,0,1,2,6,3,9,1,0,4,1,1,0,0,0,0,0,0",0.0
"4,1,0,5,8,4,1,2,9,4,9,3,0,0,0,0,0",0.0
"8,5,3,1,1,5,2,2,2,9,3,9,1,6,6,0,0,0,0,0,0,0",0.0
"5,5,2,0,4,9,2,8,0,4,0,5,7,0",0.0
"4,0,2,9,2,5,8,2,0,1,5,3,3,3,9,0,0,0,0,0",0.0
"5,7,2,6,0,3,9,2,5,2,0,3,6,1,0,9,3,0,0,0",0.0
"7,3,5,4,3,0,2,0,9,9,5,3,0,0",0.0
"7,2,5,4,5,0,2,1,0,9,4,0,2,9,0,0",0.0
"6,4,6,8,0,7,1,3,6,4,9,6,0,6,3,9,0,0",0.0
"3,9,8,1,5,0,5,1,5,3,1,1,0,5,0,0,0,9",0.0
"8,1,9,3,6,6,4,4,3,0,5,1,9,0,0,1,0,0,0",0.0
"6,6,7,6,2,0,3,4,0,3,9,2,9,1,0,0,1,0,0",0.030364875871904336
"8,5,4,9,1,3,1,1,0,2,9,4,2,6,0,0,0,0,0,0",0.0
"3,6,2,2,5,1,8,6,1,2,2,6,1,9,0,9,0,0,0,0,0,0",0.0
"5,4,7,5,4,2,2,0,4,0,1,4,6,0,9,9,0,0,0",0.0
"2,6,7,4,9,5,1,1,0,5,0,1,0,0,9",0.0
"1,8,0,4,2,5,0,0,6,0",0.0
"3,2,1,1,9,3,3,3,1,3,5,1,5,5,0,0,0,9,0,0,0,0,0,0",0.0
"3,4,7,3,9,0,2,9,4,0,0,0",0.0
"4,6,7,4,6,4,9,2,2,5,1,6,1,0,0,9,0,0,0,0",0.0
"4,3,1,1,9,0,0,9,1,0,3,8,0,8,0",0.6713565022529867
"1,5,3,1,7,3,0,6,1,5,5,3,3,3,3,0,0,9,9,0,0,0,0,0",0.0
"8,5,1,9,2,4,4,5,5,2,2,0,6,0,3,1,9,0,0,0,0,0",0.0
"6,3,6,8,4,9,5,0,5,1,9,0",0.0
"4,7,4,0,2,1,9,0,0,9",0.43947504117420055
"3,4,8,0,1,0,0,0",0.0
"2,6,8,5,0,8,0",0.0
"6,3,1,7,1,6,3,6,1,0,3,1,4,9,3,9,0,4,0,0,0,0,0,0,0",0.0
"8,4,0,3,6,0,6,0",0.0
"6,7,5,2,6,3,1,3,9,6,1,0,2,9,0,0,0,0",0.6058195308348239
"5,7,1,3,6,0,1,6,6,1,0,4,9,0,0,9",0.0
"4,9,2,0,3,0,0",0.0
"4,2,0,3,0,9,3,7,2,0,9,0",0.0
"1,4,8,3,9,0,8,1,6,4,5,0,2,9,0,0,0",0.0
"5,3,3,4,7,5,3,4,0,4,4,6,1,9,0,0,0,9,0,0,0",0.0
"3,9,2,0,8,4,2,4,3,9,4,4,6,4,4,0,0,0,0,0,0,0,0",0.0
"3,8,5,3,4,1,3,1,0,0,0,9,0,2,9,0,0",0.0
"2,9,6,2,6,7,0,0",0.43263799105686757
"4,2,9,8,0,8,2,4,6,3,3,9,3,1,0,0,0,0,0,0",0.0
"8,4,3,9,6,0,6,3,0,9",0.6369967930735404
"5,3,0,4,3,2,1,9,4,9,0,3,4,7,3,0,0,0,0,0,0",0.0
"3,7,4,5,1,3,0,6,6,0,9,5,0,0",0.0
"3,0,3,6,1,8,5,4,0,4,4,9,5,0,9,0,0",0.0
"5,7,1,1,6,0,9,4,6,3,6,2,0,9,0,0",0.0
"3,3,8,4,6,0,9,2,9,2,5,8,1,3,0,2,0,0,0,0,0",0.6799868714666077
"2,5,4,3,0,2,0,9,9,5,0",0.0
"4,8,2,2,4,9,6,2,0,0,5,5,1,9,0,0,0",0.0
"4,9,3,8,1,4,3,9,0,5,5,5,0,0,0",0.0
"5,2,6,4,0,9,6,8,3,4,6,0,1,9,4,0,0,0",0.0
"8,4,6,3,3,2,4,1,2,9,0,3,3,0,9,0,0,0,0,0,0",0.0
"7,2,6,0,4,9,1,1,4,9,4,0,3,1,0,0,0,0,0",0.0
"1,4,1,0,4,0,7,0,2,2,9,3,1,3,1,0,9,0,0,0,0,0",0.0
"8,6,2,9,3,9,0",0.5442250087058194
"4,0,1,0,3,0,8,4,6,2,2,0,9,1,3,9,0,0,0",0.0
"6,4,1,5,5,8,0,4,6,8,6,0,2,6,0,0,0",0.0
"7,3,1,2,3,4,1,1,0,5,2,3,2,0,0,6,0,0,0,9,0,0,0,9",0.0
"4,0,2,1,2,0,6,4,3,4,9,7,5,0,0,1,0,0,9,0",0.0
"4,7,0,3,2,9,8,5,2,2,1,2,3,9,0,0,0,0,0,0",0.0
"4,0,8,1,2,0,9,4,0,9",0.4039533671399398
"1,1,1,7,0,3,3,3,4,0,5,0,3,9,5,0,0,9,0,0",0.0
"1,4,2,8,0,7,6,0,3,5,0,1,0,2,5,7,0,0,9",0.0
"8,1,5,3,9,2,9,5,0,3,0,0",0.0
"3,9,8,1,0,4,1,3,0,9,5,0,0",0.0
"4,6,6,0,0",0.0
"4,8,0,2,9,4,7,1,2,5,4,3,0,0,0,4,0,0,9,0",0.0
"1,1,9,1,5,0,0,4,5,0,6,1,9,0",0.0
"8,4,9,1,9,5,4,3,0,4,6,1,0,0,0,0",0.0
"8,4,0,3,3,0,0,3,0,2,3,2,3,9,0,0,9,0",0.0
"2,9,7,3,2,0,0,1,6,0,0",0.6374358893972183
"5,4,6,0,7,3,6,2,4,9,2,5,5,5,0,9,5,0,0",0.0
"4,7,4,6,0,2,6,6,0,9,0",0.0
"5,8,2,9,6,3,5,5,1,4,2,6,1,9,6,0,0,0,0,0",0.0
"1,3,0,5,0,3,7,0,7,6,1,9,3,0,9",0.0
"3,2,2,8,6,0,6,2,7,0,4,1,9,0,5,0,0,9",0.0
"1,5,4,0,3,9,2,6,3,9,3,4,3,8,0,3,1,0,0,0,0,0,0,0",0.0
"8,3,3,9,0,4,9,1,5,2,0,2,4,0,4,1,0,0,0,0,0",0.0
"8,6,6,1,2,3,0,2,1,0,9,2,1,3,9,0,0,0,0,0",0.5482523252571526
"1,9,6,4,3,8,2,5,5,0,4,6,0,1,4,9,0,0,0,0",0.0
"1,9,4,7,2,1,3,5,0,0,3,1,6,2,6,0,0,0,9,0,0",0.0
"5,2,9,4,7,0,1,4,9,0,4,3,1,1,0,0,0,0,0",0.0
"5,8,4,3,4,2,0,3,0,0,0,0,9",0.0
"3,1,0,9,6,3,9,8,6,3,4,2,6,4,0,2,0,0,0,0,0",0.0
"4,0,1,7,6,2,0,4,9,4,3,2,5,2,0,2,0,0,0,9,0,0",0.0
"1,7,1,2,4,2,5,4,3,5,0,6,4,9,0,0,9,0,0,0,0",0.0
"6,8,4,9,5,4,3,6,4,5,5,5,0,1,0,0,0,9",0.0
"4,0,2,1,6,7,1,0,9,9,4,5,0,0",0.0
"6,1,0,4,1,1,9,6,2,2,8,0,1,9,0,0,0,0",0.0
"1,0,5,8,2,2,9,2,9,4,0,2,4,0,0,2,0,0,0",0.0
"6,7,6,1,9,4,4,0,0,6,6,0",0.0
"7,1,5,3,1,3,0,5,1,9,6,1,6,0,9,0,0,0",0.0
"6,7,3,3,4,9,6,4,1,0,1,0,0,9,2,0,0,0",0.6098992738555176
"7,2,0,5,3,6,1,9,2,6,6,3,0,0,0,9",0.39655784545078415
"3,7,1,6,0,1,2,5,0,2,5,0,0,0,3,0,9",0.0
"2,3,9,8,0,6,4,9,4,8,0,6,3,2,0,0,0",0.5754898583249247
"3,2,5,1,9,2,1,3,3,9,2,5,8,0,0,0,0,0,0,0",0.0
"2,8,4,9,4,0,1,2,3,5,5,1,2,3,9,2,0,0,0,0,0,0,0,0",0.0
"2,3,1,9,6,2,0,0,4,3,5,8,2,0,1,9,0,0,0,0",0.0
"4,9,4,0,1,8,0,3,4,9,6,3,4,6,0,0,0,0",0.0
"5,7,3,6,1,0,4,3,5,4,3,3,9,0,0,9,0,0,0",0.0
"5,7,2,4,0,9,9",0.0
"7,6,3,1,0,9,2,2,0,6,0,1,0,9",0.6548769741522992
"7,3,6,1,3,4,0,6,3,0,9,9,4,3,3,4,0,0,0,0,0,0",0.0
"7,2,1,9,2,0,2,0,5,5,3,1,4,6,0,0,9,0,0",0.0
"3,9,7,4,3,0,9,2,5,1,0,2,3,4,0,0,0,0,0",0.0
"2,3,5,2,5,0,8,2,6,1,6,1,0,0,9,0,0,0",0.0
"4,7,4,3,3,2,9,6,0,2,3,2,5,0,0,1,0,0,0,0,9,0",0.0
"1,0,7,3,9,6,3,6,2,1,3,1,0,9,0,0,0,0",0.4436055757617688
"8,1,2,9,0,1,5,1,4,9,1,3,1,0,0,0,0,0,0",0.0
"5,5,3,0,4,3,1,4,5,8,0,6,4,9,2,0,0,9,0,0",0.0
"4,8,4,5,0,0,4,3,8,5,2,4,4,0,0,0,9,9,0",0.0
"2,9,1,7,3,2,0,6,0,1,6,0,6,0,0",0.3595029472392796
"6,2,1,9,7,4,9,1,1,0,0,0,5,0",0.0
"1,9,8,5,1,0,0",0.0
"6,4,8,2,1,0,4,0,0,0,0",0.0
"6,2,1,1,1,3,2,0,7,5,0,1,8,6,0,8,0,9,0,0,9",0.0
"1,0,6,3,3,6,4,1,4,7,0,9,7,2,9,0,0,0,0",0.0
"3,1,0,6,2,2,9,7,0,7,3,4,5,0,0,1,9,0,0",0.0
"1,0,1,9,6,7,0",0.35791149116259513
"3,3,0,0,5,4,9,1,8,0,7,5,2,9,2,3,0,0,0",0.0
"5,8,6,1,4,5,1,1,3,9,6,0,0,0,0,9",0.0
"3,4,0,9,7,3,5,0,9",0.0
"6,4,3,6,8,4,4,4,4,9,6,0,2,9,0,0,0,0,0",0.0
"7,5,3,6,3,6,1,9,1,2,2,2,9,0,6,0,0,0,0,0",0.0
"3,9,1,7,5,3,2,0,4,5,2,0,0,0,0,9",0.0
"8,1,1,0,6,4,4,4,0,9,9,3,6,0,0,0",0.0
"1,1,9,0,6,3,9,8,3,0,6,0",0.5196947607792167
"1,6,1,4,8,3,0,9,0,3,0,5,0,5,0",0.0
"6,3,0,1,5,3,0,0,2,0,0",0.0
"1,6,6,2,4,2,7,5,3,4,9,5,1,0,9,0,8,0,0,0,0",0.0
"3,5,4,1,7,6,0,8,1,5,5,0,9,2,8,0,0,0",0.0
"3,7,4,4,0,0,0,0",0.0
"3,1,2,0,1,4,0,5,3,5,2,9,1,7,0,0,7,0,9,0,0",0.0
"3,5,5,8,0,9",0.0
"3,4,9,6,2,0,7,6,0,3,1,7,0,0,0",0.7111383362145476
"3,9,2,7,0,3,9,4,3,4,8,4,1,0,0,0,0,0,0",0.0
"7,4,0,6,3,9,3,3,9,0,4,3,1,0,5,4,0,0,0,0",0.0
"5,3,0,4,9,4,9,5,0",0.0
"5,7,2,0,5,0",0.0
"3,4,0,8,6,2,3,6,6,3,2,9,0,9,3,0,0,0,0",0.0
"2,4,9,0,4,1,5,8,0,1,0,0,1,7,0,4,9,0",0.0
"7,2,4,9,0,3,2,2,0,2,0,6,0,0,5,2,0,9",0.0
"3,2,4,9,3,8,0,9,7,5,2,0,6,0,5,0",0.0
"1,9,4,2,5,2,8,4,3,3,3,0,0,3,0,0,9,0,0,0,0",0.0
"1,0,8,6,1,9,3,9,6,0",0.45267311086283035
"6,8,5,1,9,2,0,2,1,0,5,1,3,2,9,0,0,0,0",0.0
"6,4,1,8,3,5,0,3,3,9,2,9,0,0,6,0,0",0.0
"6,7,4,9,5,5,1,1,9,3,0,6,3,1,0,0,0,0",0.0
"1,0,4,2,9,3,8,0,2,1,2,1,6,0,0,9,0,0,0",0.0
"6,8,2,0,3,0,1,9,1,5,3,9,0,5,0",0.0
"2,8,3,9,4,9,2,0,2,6,0,6,6,0,2,0,0",0.5077297355908167
"4,3,6,1,9,0,0,0",0.0
"8,2,0,5,2,9,0",0.0
"2,7,6,0,4,2,1,5,5,5,0,3,0,4,0,9,0,0",0.0
"7,3,6,1,4,0,1,0,9,9,3,6,3,3,2,0,0,0,0,0",0.0
"7,6,1,2,6,6,1,6,1,6,0,6,3,5,0,0,0,0,9",0.0
"7,4,6,2,5,0,5,1,1,5,3,6,0,0,6,0,0,0",0.0
"8,1,0,4,6,6,3,2,5,1,6,2,0,9,1,9,0,0,0,0",0.0
"8,1,6,4,9,6,6,0,2,6,6,4,2,0,0,0,0",0.0
"6,2,0,2,2,7,3,5,0,9,1,1,4,3,9,0,0,0,0,0",0.0
"8,4,4,9,4,5,2,9,0,3,1,0,5,4,3,0,0,0,0,0",0.0
"1,4,9,8,5,1,0,1,2,9,0,2,5,1,0,0,0,0",0.0
"2,6,8,0,3,1,9,2,1,0,1,4,5,4,4,9,0,0,0,0,0,0",0.0
"2,9,4,9,3,1,1,0,2,7,3,4,0,0,0,0,0,0",0.0
"6,2,5,4,5,8,2,6,4,9,1,0,0,9,8,0,0",0.0
"4,1,5,0,0,2,5,2,7,3,2,0,5,0,2,9,0,9,0",0.0
"5,8,3,4,6,2,4,1,4,9,0,3,0,0,9,0,0,0",0.0
"7,6,4,9,2,3,2,0,4,9,1,0,0,1,0,6,0,0",0.0
"2,0,4,2,6,7,4,2,4,0,6,0,0,6,2,0,9,0,0",0.0
"8,2,0,1,0,2,9,6,2,5,0,6,0",0.0
"6,4,0,7,2,3,5,5,0,3,9,1,3,1,9,0,0,0,0",0.0
"6,2,8,5,3,0,9,0",0.0
"8,6,6,4,1,9,4,5,3,4,1,9,0,0,1,4,0,0,0,0,0",0.0
"7,4,4,0,0,3,9,4,6,6,1,0,4,9,0,0",0.0
"8,5,4,0,5,3,1,9,5,5,0,3,1,6,0,9,0",0.0
"3,7,6,0,4,5,0,7,2,0,1,5,1,0,0,6,0",0.0
"5,3,2,9,5,3,0,2,5,5,5,4,8,1,0,9,0,0,0",0.0
"6,8,1,5,1,5,4,9,1,2,0,5,0,9,0,0",0.0
"7,1,4,9,1,2,4,6,0,9,0,0,4,0,0",0.0
"5,5,2,0,1,9,8,2,9,5,4,0,1,0,4,0,0",0.0
"5,5,1,9,1,9,1,0,5,3,6,7,4,3,0,0,0,0",0.0
"6,6,2,4,6,0,8,5,0,2,3,9,0,0",0.0
"4,9,1,5,2,4,9,4,2,1,0,7,0,0,0,1,0,0,0",0.0
"8,6,6,4,6,3,3,4,9,6,3,1,0,2,9,0,0,0,0,0",0.0
"3,0,8,1,3,6,6,0,1,5,4,0,1,4,0,9,0,9,0",0.0
"7,2,0,3,5,3,9,3,9,0,6,4,1,4,0,2,0,0,0,0",0.0
"3,7,0,5,4,2,4,9,0,6,8,3,4,0,9,0,0",0.0
"4,0,6,4,6,8,1,3,9,1,0,9,1,5,0,0,0",0.0
"3,9,7,1,3,0,2,5,3,4,5,0,4,9,0,2,0,0,0,0",0.0
"4,2,9,4,6,7,6,1,3,5,3,9,0,2,0,0,1,0,0,0,0",0.0
"7,3,0,5,1,0,6,0",0.0
"5,1,7,6,0,3,2,9,1,3,0,9,7,0,0",0.0
"4,9,3,6,1,9,0,3,7,0,0",0.0
"1,0,5,7,5,3,0,4,3,2,4,5,1,2,9,0,0,0,9,0,0",0.0
